牌阵名,牌阵描述,牌阵牌数,权限,分类
单张牌,针对单一问题的快速解读,1,Free,recommended
三张牌阵,过去-现在-未来，了解事情的演变,3,Free,recommended
凯尔特十字,全面分析问题的牌阵,10,Premium,recommended
时间流牌阵,预测未来 & 窥探未知，有时间指向的占卜,3,Free,basic
圣三角牌阵,判断情势 & 寻找成因，理清事情原委,3,Free,basic
直指核心牌阵,问题探索 & 切中要害，快速找到问题症结,3,Free,basic
恋人金字塔,恋人关系 & 互动解析，简洁直接,3,Free,love
爱情大十字,两性关系 & 爱情状况，注重内心情感,4,Pro,love
寻找对象牌阵,寻找意中人 & 有缘人,3,Free,love
爱情树牌阵,溯本求源 & 寻找症结，回溯爱情过往,3,Free,love
二选一牌阵,抉择 & 判断，两种情况选择,2,Free,decision
三选一牌阵,事情抉择 & 选择占卜，三个选项分析,3,Free,decision
财富之树,事业发展 & 财运状况,3,Free,career
问题解决牌阵,问题剖析 & 答疑解惑,3,Free,career
身心灵牌阵,自我探索 & 了解自己,3,Free,self
四元素牌阵,问题探索 & 多方解析,4,Pro,self
周运势牌阵,周运分析 & 单周占卜,7,Premium,advanced
六芒星牌阵,事物发展 & 预测未来,6,Pro,advanced
